en,fr
Jilano,Jilano
Explore,Explorer
Submit,Partager
Judge,Juger
Welcome to Jilano,Bienvenue
The goal of this web app is to reference haikus,Le but de ce site web est de référencer les Haikus
"A Haiku is a short poem, traditionally on 3 lines, following a strict pattern.","Un Haiku, c'est un court poème suivant des règles strictes, habituellement sur 3 lignes."
For example :,Par exemple :
The west wind whispered,Un vieil étang
And touched the eyelids of spring,Une grenouille qui plonge
"Her eyes, Primroses",Le bruit de l'eau
― R. M. Hansard, ― M. Bashō
"Haikus are originated from Japan. In Japanese, haikus should follow a 3 lines format with a 5-7-5 pattern (number of syllables per line).","Les haikus nous viennent du Japon. En Japonais, les haikus doivent suivre un format sur 3 lignes, où les lignes ont 5, 7 et 5 syllabes respectivement."
Such constraints force the poet to be creative expressing himself while respecting the rules.,De telles contraintes forcent le poète à être plus créatif lorsqu'il souhaite s'exprimer.
"Haikus usually focus on the nature, and is divided in 2 asymmetrical sections that juxtaposes 2 subjects, most of the time unexpectedly similar.","Les haikus ont traditionnellement la nature pour sujet, et sont divisés en 2 parties inégales, comparant 2 sujets étrangement similaires."
There is no need to make the lines rhyme.,Les lignes ne doivent pas nécessairement rimer.
"For other languages than Japanese (like English), it's more difficult to keep the format constraint. Thus, poets are more free.","Pour les autres langues que le Japonais, tel que le français, il est plus difficile de respecter les contraintes de formes. Les poètes sont donc plus libres."
"In this website, you can explore haikus submitted by others, and you can submit your own if you wish.","Sur ce site, vous pouvez explorer les haikus proposés par les membres, mais vous pouvez aussi partager vos créations."
We enforce no rules about haiku submission : creativity should have no limit.,Nous n'imposons aucune règle quant au format : la créativité ne doit avoir aucune limite.
"However, we would like to keep this website focused on haiku. There is plenty of communities out there for other form of poetry !","En revanche, nous souhaitons garder ce site centré sur les haikus. Il y a des tas d'autres communautés pour les autres formes de poésie !"
Having issues or Questions ? ,Un problème ? Une question ?
Get in touch on   ,Contactez-nous sur   